"AIRPORT","AIRPORT_ID","LATITUDE","LONGITUDE","Closest_Station"
"AUK",10416,62.683055558,-164.67505554,"USW00026650"
"AUM",10417,43.66361111,-92.933472225,"USW00004902"
"AUN",10418,38.95375,-121.08180555,"USW00023224"
"AUO",10419,32.61513889,-85.432916665,"USW00003892"
"AUS",10423,30.19444444,-97.67,"USW00013904"
"AUS",16440,30.29805556,-97.70138889,"USW00093923"
"AUW",10424,44.92587963,-89.6262037033333,"USW00014897"
"AUZ",10427,41.771388885,-88.47416667,"USW00004808"
"AVL",10431,35.4353703683333,-82.5420833316667,"USW00003812"
"AVO",10433,27.591944445,-81.527916665,"USW00012804"
"AVP",10434,41.33861111,-75.72383333,"USW00014777"
"AVW",10436,32.409305555,-111.21819445,"USI0000KAVQ"
"AVX",10437,33.405,-118.4158333,"USW00023191"
"AWK",10439,19.28125,166.63847225,"WQW00041606"
"AWM",10440,35.135,-90.23444444,"USW00053959"
"AWX",10442,32.330666664,-102.5297222,"USW00000349"
"AXB",10445,44.31666667,-75.89972222,"USL000ALXN6"
"AXN",10449,45.866805555,-95.394444445,"USW00014910"
"AXS",10451,34.698472225,-99.338194445,"USW00063901"
"AXV",10454,40.49347222,-84.298472225,"USI0000KAXV"
"AXX",10455,36.42125,-105.2897222,"USW00000137"
"AYS",10460,31.2487037033333,-82.3958333366667,"USW00013861"
"AZ1",10463,35.650694445,-112.1480556,"USI0000K40G"
"AZ2",10464,35.30388889,-112.19430555,"USW00000221"
"AZ3",10465,33.52708333,-112.2952778,"USW00053126"
"AZ4",16451,33.7875,-113.6425,"USW00053172"
"AZ5",16561,34.1256481466667,-109.3108333,"USI0000KJTC"
"AZ6",16639,32.96027778,-112.6736111,"USW00053176"
"AZ7",16837,36.96,-113.0138889,"USW00053129"
"AZ8",16973,31.90916667,-111.1208333,"USW00000121"
"AZ9",16975,32.93611111,-111.4263889,"USI0000KP08"
"AZA",10466,33.30777778,-111.6555556,"USW00023104"
"AZO",10469,42.235416665,-85.55263889,"USW00094815"
"B19",10471,43.46416667,-70.4725,"USL000WEXM1"
"B21",10472,45.0855092616667,-70.2163425933333,"USI0000K8B0"
"BAB",10474,39.13611111,-121.43611115,"USW00093216"
"BAD",10476,32.501888886,-93.662611112,"USW00013944"
"BAF",10478,42.158444448,-72.715944442,"USW00014775"
"BAL",10821,39.17555556,-76.67138889,"USW00093721"
"BAM",10484,40.598333335,-116.8733333,"USW00024119"
"BAR",10487,55.36666667,-133.6,"USW00025367"
"BBC",10494,28.973277776,-95.86333333,"USW00012981"
"BBD",16665,31.17916667,-99.32388889,"USW00093942"
"BBF",10495,42.50833333,-71.18333333,"USW00014702"
"BBW",16573,41.43638889,-99.64222222,"USW00094946"
"BBX",10504,40.1369444466667,-75.26675926,"USW00064752"
"BCB",10508,37.2081481466667,-80.40898148,"USW00053881"
"BCC",10509,57.6175,-155.8672222,"USW00025522"
"BCE",10511,37.70638889,-112.14527775,"USW00023159"
"BCJ",10514,37.96666667,-105.7666667,"USC00057337"
"BCS",10518,29.86611111,-90.02222222,"USW00093906"
"BCT",10519,26.37083333,-80.10833333,"USC00080845"
"BDE",10523,48.72648148,-94.6077777766667,"USW00094961"
"BDG",10524,37.583055555,-109.48291665,"USW00003036"
"BDL",10529,41.9387698428571,-72.6834523785714,"USW00014740"
"BDR",10535,41.1637037033333,-73.1255555533333,"USW00094702"
"BDY",10538,43.086944445,-124.40805555,"USC00350471"
"BEC",16473,37.694166665,-97.215,"USW00003974"
"BED",10540,42.470166666,-71.289222224,"USW00014702"
"BEH",10543,42.128425925,-86.4271296283333,"USW00094871"
"BET",10551,60.781527775,-161.83430555,"USW00026615"
"BFB",10556,58.18333333,-152.1333333,"USW00025501"
"BFD",10557,41.80263889,-78.63972222,"USW00004751"
"BFF",10558,41.87490741,-103.599259266667,"USW00024028"
"BFG",16760,37.54583333,-110.7133333,"USW00053004"
"BFI",10559,47.529444445,-122.3006944,"USW00024234"
"BFK",10560,39.70166667,-104.7516667,"USW00093032"
"BFL",10561,35.4325,-119.055555566667,"USW00023155"
"BFM",10562,30.6265740766667,-88.06805556,"USW00013838"
"BFP",10565,40.77236111,-80.39125,"USW00004813"
"BFR",10567,38.84,-86.44527778,"USW00063898"
"BFT",10569,32.4121296266667,-80.6345370333333,"USW00000203"
"BGD",10572,35.70083333,-101.39333335,"USW00003024"
"BGE",10573,30.97166667,-84.63722222,"USC00092593"
"BGM",10577,42.207055554,-75.97761111,"USW00004725"
"BGQ",10580,61.535499998,-149.81305556,"USW00026443"
"BGR",10581,44.80763889,-68.82791667,"USW00014601"
"BGS",10582,32.21347222,-101.52333335,"USW00003044"
"BGT",10583,34.59411111,-113.17105554,"USC00029158"
"BHB",10589,44.4494444433333,-68.3615740766667,"USW00014616"
"BHC",10590,35.16333333,-114.5644444,"USW00053135"
"BHM",10599,33.5632638925,-86.754722225,"USW00013876"
"BIC",10612,57.66666667,-157.5833333,"USI0000PAPN"
"BID",10613,41.167361115,-71.578472225,"USW00094793"
"BIE",10614,40.30013889,-96.75375,"USW00094947"
"BIF",10615,31.84944444,-106.3797222,"USW00023019"
"BIG",10616,63.994166665,-145.71958335,"USW00026415"
"BIH",10617,37.373111114,-118.36388888,"USW00023157"
"BIL",10620,45.8075,-108.543055566667,"USW00024033"
"BIS",10627,46.775833335,-100.74916665,"USW00094071"
"BIX",10629,30.410833335,-88.924027775,"USW00013820"
"BJC",10630,39.90888889,-105.1172222,"USW00003065"
"BJI",10631,47.5098611075,-94.934166665,"USW00014958"
"BJJ",10632,40.87472222,-81.8873148133333,"USW00004842"
"BKC",10640,65.98027778,-161.1379167,"USW00026645"
"BKE",10641,44.837777775,-117.80958335,"USW00024130"
"BKF",10642,58.6,-156.2333333,"USW00025503"
"BKG",10643,36.53194444,-93.20055556,"USW00000207"
"BKH",10644,22.022222225,-159.78583335,"USW00022501"
"BKL",10647,41.5175,-81.68311111,"USW00004853"
"BKT",16987,37.07444444,-77.95722222,"USW00013726"
"BKW",10654,37.78458333,-81.12416667,"USW00003872"
"BKX",10655,44.30433333,-96.816555554,"USW00094902"
"BLD",10661,35.9474074066667,-114.861064816667,"USW00000269"
"BLF",10663,37.29583333,-81.20777778,"USW00003859"
"BLH",10665,33.62,-114.71791665,"USW00023158"
"BLI",10666,48.79361111,-122.5361111,"USW00024217"
"BLM",10670,40.18666667,-74.12472222,"USW00004783"
"BLV",10676,38.5444444466667,-89.8405555566667,"USW00013802"
"BMC",10680,41.552916665,-112.0622222,"USW00024180"
"BMG",10683,39.1420370366667,-86.61537037,"USW00003893"
"BMI",10685,40.4787962933333,-88.91972222,"USW00054831"
"BML",10687,44.575,-71.17611111,"USW00094700"
"BMT",16902,30.07027778,-94.215,"USW00000313"
"BMX",10692,59.3617592566667,-155.258425933333,"USW00025521"
"BNA",10693,36.125555555,-86.68,"USW00013897"
"BNF",10697,57.08916667,-134.8313889,"USW00025379"
"BNG",10698,33.922611112,-116.85066668,"USW00023156"
"BNH",16954,42.35138889,-71.025,"USW00014739"
"BNL",10701,33.257888892,-81.388222222,"USW00000194"
"BNO",10703,43.59125,-118.95486115,"USW00094185"
"BOI",10713,43.56486111,-116.2238889,"USW00024131"
"BOK",10715,42.07435185,-124.289537033333,"USW00024267"
"BOS",10721,42.363333335,-71.00625,"USW00014739"
"BOW",10722,27.94333333,-81.7834259233333,"USW00012809"
"BPI",16521,42.58361111,-110.11,"USW00024164"
"BPT",10728,29.95083333,-94.020277778,"USW00012917"
"BQK",10731,31.2589814833333,-81.46638889,"USW00053883"
"BQN",10732,18.49486111,-67.12944444,"RQW00011603"
"BQV",10735,58.45541667,-135.88430555,"USL000BLTA2"
"BRD",10739,46.4011904771429,-94.1355555571429,"USW00094938"
"BRG",10741,37.11666667,-82.81666667,"USC00449215"
"BRL",10744,40.7841666666667,-91.1248148166667,"USC00131060"
"BRO",10747,25.90722222,-97.4263888883333,"USI0000KBRO"
"BRW",10754,71.285,-156.7681111,"USW00027502"
"BRY",10756,37.81444444,-85.49972222,"USI0000KBRY"
"BSM",10423,30.19444444,-97.67,"USW00013904"
"BSM",10763,30.19472222,-97.67666667,"USW00013904"
"BSQ",10765,31.367222225,-109.8827778,"USW00093026"
"BSW",10769,60.423333335,-146.14513885,"USA00702795"
"BSZ",10770,58.22486111,-157.3513889,"USW00025519"
"BTI",10775,70.1280555571429,-143.601904728571,"USW00027401"
"BTL",10778,42.30740741,-85.2543518533333,"USW00014815"
"BTM",10779,45.952916665,-112.49569445,"USW00024135"
"BTP",10780,40.77675926,-79.95074074,"USW00064705"
"BTR",10781,30.53266667,-91.150111112,"USW00013970"
"BTT",10783,66.914583335,-151.5277778,"USW00026533"
